Date,Close
31/08/1991,6.7869
30/09/1991,7.50763
31/10/1991,7.40753
30/11/1991,7.868
31/12/1991,7.32745
31/01/1992,7.44757
29/02/1992,7.35748
31/03/1992,7.56769
30/04/1992,7.68782
31/05/1992,7.16729
30/06/1992,7.20733
31/07/1992,6.86698
31/08/1992,6.15626
30/09/1992,5.86596
31/10/1992,6.06617
30/11/1992,6.06617
31/12/1992,6.00611
31/01/1993,6.73685
28/02/1993,7.80794
31/03/1993,8.18832
30/04/1993,8.34849
31/05/1993,8.69884
30/06/1993,8.9491
31/07/1993,9.60977
31/08/1993,9.20936
30/09/1993,10.1103
31/10/1993,9.42959
30/11/1993,9.55972
31/12/1993,9.76993
31/01/1994,9.22938
28/02/1994,8.33848
31/03/1994,8.23838
30/04/1994,8.08822
31/05/1994,7.77791
30/06/1994,8.02816
31/07/1994,7.65779
31/08/1994,7.44757
30/09/1994,7.45758
31/10/1994,7.36749
30/11/1994,7.95809
31/12/1994,8.2584
31/01/1995,9.01917
28/02/1995,8.95911
31/03/1995,9.41958
30/04/1995,9.17933
31/05/1995,9.3395
30/06/1995,9.3395
31/07/1995,9.82999
31/08/1995,10.2504
30/09/1995,10.0102
31/10/1995,10.4907
30/11/1995,10.821
31/12/1995,11.7119
31/01/1996,10.831
29/02/1996,10.0002
31/03/1996,10.4606
30/04/1996,10.145
31/05/1996,10.4036
30/06/1996,10.3738
31/07/1996,10.8413
31/08/1996,11.5574
30/09/1996,11.7861
31/10/1996,11.9154
30/11/1996,11.9751
31/12/1996,12.6912
31/01/1997,12.7509
28/02/1997,12.6813
31/03/1997,13.845
30/04/1997,14.0389
31/05/1997,15.9138
30/06/1997,16.560301
31/07/1997,14.959
31/08/1997,16.9482
30/09/1997,16.2619
31/10/1997,17.2565
30/11/1997,17.505199
31/12/1997,18.1516
31/01/1998,18.1516
28/02/1998,17.833401
31/03/1998,18.3008
30/04/1998,18.6887
31/05/1998,18.738501
30/06/1998,20.439301
31/07/1998,18.4998
31/08/1998,19.8524
30/09/1998,19.782801
31/10/1998,21.831699
30/11/1998,23.0252
31/12/1998,23.7931
31/01/1999,24.069599
28/02/1999,25.7495
31/03/1999,27.366699
30/04/1999,25.0145
31/05/1999,23.920401
30/06/1999,23.99
31/07/1999,24.5231
31/08/1999,24.019899
30/09/1999,25.561501
31/10/1999,25.8002
30/11/1999,26.0886
31/12/1999,25.9594
31/01/2000,24.8573
29/02/2000,22.418501
31/03/2000,25.939501
30/04/2000,27.7307
31/05/2000,27.5408
30/06/2000,27.6462
31/07/2000,27.5338
31/08/2000,27.4513
30/09/2000,28.5543
31/10/2000,31.5222
30/11/2000,30.737499
31/12/2000,31.8276
31/01/2001,30.0273
28/02/2001,28.4459
31/03/2001,28.684601
30/04/2001,31.0319
31/05/2001,33.966
30/06/2001,29.341
31/07/2001,29.187901
31/08/2001,25.9594
30/09/2001,29.6394
31/10/2001,28.4459
30/11/2001,29.7787
31/12/2001,32.563599
31/01/2002,32.183601
28/02/2002,31.8673
31/03/2002,32.673
30/04/2002,33.3195
31/05/2002,32.752499
30/06/2002,31.002001
31/07/2002,30.7036
31/08/2002,29.9776
30/09/2002,30.2362
31/10/2002,27.0037
30/11/2002,26.8545
31/12/2002,25.770399
31/01/2003,24.407801
28/02/2003,25.909599
31/03/2003,27.073299
30/04/2003,28.087799
31/05/2003,29.3908
30/06/2003,29.6891
31/07/2003,27.8988
31/08/2003,27.550699
30/09/2003,27.351801
31/10/2003,27.4513
30/11/2003,29.2913
31/12/2003,30.3456
31/01/2004,31.5093
29/02/2004,33.120499
31/03/2004,31.0816
30/04/2004,32.374599
31/05/2004,32.4044
30/06/2004,31.0518
31/07/2004,30.0373
31/08/2004,30.0273
30/09/2004,31.927
31/10/2004,31.2407
30/11/2004,31.927
31/12/2004,33.339401
31/01/2005,36.034801
28/02/2005,34.771599
31/03/2005,36.144199
30/04/2005,36.8503
31/05/2005,37.745499
30/06/2005,38.849499
31/07/2005,37.198502
31/08/2005,38.202999
30/09/2005,38.670502
31/10/2005,41.574699
30/11/2005,42.5196
31/12/2005,44.409401
31/01/2006,44.608299
28/02/2006,45.055901
31/03/2006,46.7467
30/04/2006,42.9473
31/05/2006,44.1707
30/06/2006,44.558601
31/07/2006,45.473598
31/08/2006,45.503502
30/09/2006,47.443001
31/10/2006,47.1744
30/11/2006,49.213402
31/12/2006,49.770302
31/01/2007,49.6908
28/02/2007,49.989201
31/03/2007,52.4757
30/04/2007,55.101501
31/05/2007,54.952301
30/06/2007,53.967602
31/07/2007,54.852798
31/08/2007,56.086102
30/09/2007,61.168598
31/10/2007,59.328602
30/11/2007,58.781502
31/12/2007,49.133801
31/01/2008,41.903
29/02/2008,41.584702
31/03/2008,44.608299
30/04/2008,42.0919
31/05/2008,39.953499
30/06/2008,39.535801
31/07/2008,42.171501
31/08/2008,42.390301
30/09/2008,40.082802
31/10/2008,33.9063
30/11/2008,28.744301
31/12/2008,26.754999
31/01/2009,29.6394
28/02/2009,34.5429
31/03/2009,34.920799
30/04/2009,34.9506
31/05/2009,38.789799
30/06/2009,42.569401
31/07/2009,45.752102
31/08/2009,51.4711
30/09/2009,51.968399
31/10/2009,52.515499
30/11/2009,54.554401
31/12/2009,52.9431
31/01/2010,53.629398
28/02/2010,55.986698
31/03/2010,58.194698
30/04/2010,51.093201
31/05/2010,48.377899
30/06/2010,52.276798
31/07/2010,50.0289
31/08/2010,50.894199
30/09/2010,48.636501
31/10/2010,48.1591
30/11/2010,50.496399
31/12/2010,52.147499
31/01/2011,52.823799
28/02/2011,52.117599
31/03/2011,53.420601
30/04/2011,50.347198
31/05/2011,52.0182
30/06/2011,49.004501
31/07/2011,47.960201
31/08/2011,45.304501
30/09/2011,49.004501
31/10/2011,47.1446
30/11/2011,48.9548
31/12/2011,50.387001
31/01/2012,49.163601
29/02/2012,49.830002
31/03/2012,51.689899
30/04/2012,49.133801
31/05/2012,52.8139
30/06/2012,57.220001
31/07/2012,54.445
31/08/2012,55.469501
30/09/2012,57.438801
31/10/2012,59.368301
30/11/2012,61.844898
31/12/2012,64.102699
31/01/2013,66.907501
28/02/2013,67.643501
31/03/2013,73.054199
30/04/2013,66.499702
31/05/2013,68.807198
30/06/2013,73.810097
31/07/2013,72.447502
31/08/2013,70.826302
30/09/2013,75.669998
31/10/2013,77.400597
30/11/2013,77.380798
31/12/2013,73.830002
31/01/2014,74.257698
28/02/2014,77.022697
31/03/2014,78.4748
30/04/2014,81.150299
31/05/2014,80.444199
30/06/2014,83.298698
31/07/2014,80.881798
31/08/2014,74.8843
30/09/2014,80.046303
31/10/2014,80.285004
30/11/2014,85.188499
31/12/2014,88.848602
31/01/2015,91.424698
28/02/2015,92.896698
31/03/2015,88.391098
30/04/2015,84.6315
31/05/2015,84.671204
30/06/2015,87.088203
31/07/2015,76.360001
31/08/2015,72.720001
30/09/2015,76.730003
31/10/2015,79.43
30/11/2015,85.529999
31/12/2015,78.669998
31/01/2016,70.139999
29/02/2016,74.919998
31/03/2016,73.889999
30/04/2016,77.43
31/05/2016,74.370003
30/06/2016,77.349998
31/07/2016,71.809998
31/08/2016,72.400002
30/09/2016,73.389999
31/10/2016,78.650002
30/11/2016,82.410004
31/12/2016,81.660004
31/01/2017,82.32
28/02/2017,85.910004
31/03/2017,87.400002
30/04/2017,79.650002
31/05/2017,82.809998
30/06/2017,83.730003
31/07/2017,75.800003
31/08/2017,75.25
30/09/2017,77.629997
31/10/2017,79.43
30/11/2017,80.339996
31/12/2017,78.870003
